City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Rosarito,MX,68.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
399,Keti Bandar,PK,79.61,clear sky,24.1447,67.4497,Haji laloo memon house
401,Jacksonville,US,69.03,scattered clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
404,Bundaberg,AU,86.76,clear sky,-24.85,152.35,Takalvan Motel
405,Yulin,CN,77.32,overcast clouds,22.6333,110.15,罗弟天海大厦
406,Kalabo,ZM,71.71,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
409,Linhares,BR,69.28,broken clouds,-19.3911,-40.0722,Hotel Conceição
411,Rio Branco,BR,77.61,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
412,Aripuana,BR,72.27,overcast clouds,-9.1667,-60.6333, 
413,Cavalcante,BR,70.52,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
414,Muros,ES,67.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
415,Yomou,GN,71.94,broken clouds,7.5603,-9.2653, 
419,Jacareacanga,BR,72.7,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
420,Bougouni,ML,74.97,few clouds,11.417,-7.479,Non Stop
422,Ewa Beach,US,83.57,scattered clouds,21.3156,-158.0072,Base Lodging
423,Cockburn Town,TC,80.89,light rain,21.4612,-71.1419,Osprey Beach Hotel
424,Roebourne,AU,88.99,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
427,Okitipupa,NG,73.74,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
429,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
431,Karema,TZ,77.83,overcast clouds,-6.8205,30.4389, 
435,Biloela,AU,89.01,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
437,Dhidhdhoo,MV,81.32,scattered clouds,6.8833,73.1,Dhidhoo beach
438,Meulaboh,ID,79.25,overcast clouds,4.1363,96.1285,Kost Pria
441,Baculin,PH,81.01,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
442,Kupang,ID,90.18,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
446,Nioro,GM,77.65,broken clouds,13.35,-15.75, 
447,Wamba,NG,72.63,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
452,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
458,Sur,OM,79.03,clear sky,22.5667,59.5289,Sur Plaza Hotel
461,Samarai,PG,83.59,clear sky,-10.6167,150.6667,Nuli Sapi
462,Tupaciguara,BR,73.94,scattered clouds,-18.5922,-48.705,Hotel Tupaciguara
463,Sundumbili,ZA,68.58,overcast clouds,-29.1337,31.3975,The Plover Bed and Breakfast
467,Ewo,CG,71.83,light rain,-0.8725,14.8206,Residence Elonda Ewo
469,Salinopolis,BR,80.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
470,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
476,Araouane,ML,78.06,few clouds,18.9048,-3.5265, 
478,Ballina,AU,84.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
480,Auki,SB,84.45,scattered clouds,-8.7676,160.7034,Auki Motel
481,Codajas,BR,76.48,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
482,Clearwater,US,74.93,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
489,Sungai Padi,TH,78.58,overcast clouds,6.0851,101.8766,บ้าน​ลูกบอลกับลูกบาส
491,San Matias,BO,80.55,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
494,Ulladulla,AU,75.87,few clouds,-35.35,150.4667,Sandpiper Motel
495,San Patricio,US,67.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
498,Rumphi,MW,68.7,broken clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
501,Patiya,BD,71.55,scattered clouds,22.2931,91.9762,Shil para
503,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
505,Kampong Thum,KH,82.29,overcast clouds,12.7111,104.8887,Sambor Village Hotel
506,Eyl,SO,77.68,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
510,Santa Vitoria,BR,77.79,clear sky,-18.8386,-50.1214,Center Hotel
513,Patos De Minas,BR,73.83,broken clouds,-18.5789,-46.5181,Gálatas Central Hotel
515,Kulhudhuffushi,MV,81.32,scattered clouds,6.6221,73.07,Haajy Guest House 1
517,Ixtapa,MX,74.16,scattered clouds,20.7,-105.2,hotel la terminal
518,Podor,MR,87.53,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
519,Kirakira,SB,85.01,scattered clouds,-10.4544,161.9205,SanBiz Lodge
521,Camacari,BR,74.97,overcast clouds,-12.6975,-38.3242,Sítio Blasi
524,Lagos,NG,77.32,overcast clouds,6.5833,3.75, 
529,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
530,Axim,GH,76.93,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
532,Mandera,KE,78.03,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
533,Businga,CD,70.0,overcast clouds,3.3333,20.8833, 
536,Mangrol,IN,76.69,clear sky,21.1167,70.1167,Hotel The Royal Honours
537,Orange Cove,US,69.46,haze,36.6244,-119.3137, 
539,Anahuac,MX,70.25,broken clouds,27.2333,-100.15,HOTEL SAN FELIPE
540,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
541,Guarare,PA,78.19,light rain,7.8167,-80.2833,RESIDENCIAL VILLA VALENTINA
544,Tevaitoa,PF,79.7,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
546,Bolama,GW,80.91,clear sky,11.5833,-15.4667,Hotel Samaritana
548,Sembe,CG,70.45,overcast clouds,1.6481,14.5806, 
550,Baghdad,IQ,72.16,clear sky,33.3406,44.4009,Baghdad Hotel
558,Tezu,IN,72.46,scattered clouds,27.9167,96.1667,Circuit House
560,Sola,VU,79.99,clear sky,-13.8833,167.55,Leumerus Bungalows
565,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
570,Kalianget,ID,84.27,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
571,Perrysburg,US,70.09,overcast clouds,41.557,-83.6272,Courtyard by Marriott Toledo Rossford/Perrysburg
573,Pringsewu,ID,74.34,overcast clouds,-5.3582,104.9744,Urban Style by Front One
577,Kifri,IQ,68.67,clear sky,34.6959,44.9661,بيت نزهان الحديدي
579,Venecia,CO,70.5,overcast clouds,5.9628,-75.7381,Finca Hotel Pie de Monte
581,Masvingo,ZW,72.48,clear sky,-20.0637,30.8277,River Side Lodge
585,Estelle,US,71.6,clear sky,29.8458,-90.1067,Ohio
587,Caravelas,BR,71.44,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
588,Gombong,ID,74.23,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
589,Guanare,VE,74.86,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
