City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Altay,CN,47.8667,88.1167,37.72,45,84,4.97,broken clouds
299,Taywarah,AF,33.35,64.4167,36.99,61,2,1.28,clear sky
300,Bom Jesus,BR,-9.0744,-44.3586,72.43,96,100,0.51,overcast clouds
301,Anito,PH,12.4497,125.2886,81.84,89,100,13.22,overcast clouds
302,Zhenhai,CN,24.2582,118.0905,73.08,62,47,21.39,scattered clouds
303,Road Town,VG,18.4167,-64.6167,84.24,84,20,10.36,few clouds
304,Freeport,US,40.6576,-73.5832,67.51,91,100,4.61,mist
305,Sobolevo,RU,54.4299,31.8996,44.33,95,100,6.78,overcast clouds
306,Ormond Beach,US,29.2858,-81.0559,74.01,91,44,5.01,scattered clouds
307,Sibolga,ID,1.7427,98.7792,80.98,77,100,0.38,overcast clouds
308,Vestmannaeyjar,IS,63.4427,-20.2734,45.05,84,100,29.71,overcast clouds
309,Hami,CN,42.8,93.45,53.55,31,100,2.95,overcast clouds
310,Galveston,US,29.3669,-94.9669,67.98,59,0,8.86,clear sky
311,Zapolyarnyy,RU,69.4154,30.8136,29.48,95,100,12.82,light snow
312,Sept-Iles,CA,50.2001,-66.3821,48.72,95,100,4.61,light intensity drizzle
313,Tura,IN,25.5198,90.2201,69.49,94,3,3.24,clear sky
314,Bangassou,CF,4.7413,22.8184,69.24,97,100,0.83,overcast clouds
315,Zyryanovsk,KZ,49.7386,84.2719,31.73,46,0,1.05,clear sky
316,Ambon,ID,-3.6954,128.1814,89.74,66,40,5.75,scattered clouds
317,Along,IN,28.1667,94.7667,69.46,93,99,0.92,overcast clouds
318,Taoudenni,ML,22.6783,-3.9836,78.69,14,78,9.78,broken clouds
319,Imbituba,BR,-28.24,-48.6703,62.82,90,46,9.4,scattered clouds
320,Souillac,MU,-20.5167,57.5167,71.98,83,75,11.5,broken clouds
321,Esso,RU,55.9333,158.7,29.77,83,95,5.48,overcast clouds
322,Khorixas,NA,-20.3667,14.9667,69.03,40,91,1.95,overcast clouds
323,Pangnirtung,CA,66.1451,-65.7125,22.14,75,100,9.42,overcast clouds
324,Nizhneangarsk,RU,55.7833,109.55,30.18,64,67,4.03,broken clouds
325,Hay River,CA,60.8156,-115.7999,33.78,93,100,3.44,light snow
326,Northam,GB,51.0333,-4.2167,58.39,93,100,19.1,overcast clouds
327,Faanui,PF,-16.4833,-151.75,79.63,76,95,22.44,light rain
328,Yeppoon,AU,-23.1333,150.7333,89.38,39,47,4.32,scattered clouds
329,Santo Antonio Da Platina,BR,-23.295,-50.0772,65.34,75,0,8.5,clear sky
330,Blackwater,AU,-23.5833,148.8833,89.82,22,42,7.83,scattered clouds
331,San Quintin,MX,30.4833,-115.95,66.56,67,0,11.92,clear sky
332,Sohag,EG,26.557,31.6948,64.69,34,0,8.01,clear sky
333,Nantucket,US,41.2835,-70.0995,66.31,98,100,12.66,mist
334,San Nicola,IT,40.6116,8.991,64.36,31,74,2.28,broken clouds
335,Nanyamba,TZ,-10.6833,39.8333,64.76,98,100,2.35,overcast clouds
336,Inta,RU,66.0317,60.1659,23.38,95,93,12.5,light snow
337,Oakdale,US,44.963,-92.9649,42.64,79,0,0.0,clear sky
338,Elmina,GH,5.0898,-1.348,77.36,88,81,3.8,light rain
